Time,AMR_Undiag,AMR_I_Res
1093,130,150
1094,129,150
1095,129,150
1096,126,150
1097,130,151
1098,128,151
1099,128,151
1100,124,150
1101,120,149
1102,123,149
1103,123,149
1104,126,150
1105,126,147
1106,127,148
1107,127,148
1108,125,147
1109,126,145
1110,130,143
1111,130,140
1112,130,138
1113,129,136
1114,135,135
1115,135,132
1116,133,131
1117,134,131
1118,134,130
1119,139,128
1120,136,128
1121,138,125
1122,136,122
1123,138,118
1124,145,117
1125,150,114
1126,145,112
1127,145,113
1128,143,109
1129,145,110
1130,141,110
1131,145,108
1132,147,107
1133,147,109
1134,151,108
1135,150,106
1136,151,104
1137,150,102
1138,152,103
1139,154,101
1140,158,99
1141,154,99
1142,159,97
1143,155,94
1144,155,95
1145,162,95
1146,166,93
1147,166,92
1148,166,91
1149,166,89
1150,164,90
1151,166,87
1152,168,81
1153,172,78
1154,173,74
1155,174,69
1156,171,67
1157,170,66
1158,169,66
1159,166,67
1160,167,67
1161,170,67
1162,170,64
1163,164,63
1164,163,59
1165,165,59
1166,166,60
1167,161,60
1168,163,60
1169,166,60
1170,165,59
1171,167,59
1172,162,60
1173,166,59
1174,165,62
1175,166,62
1176,164,62
1177,162,63
1178,152,65
1179,154,65
1180,149,65
1181,148,65
1182,152,66
1183,151,66
1184,155,67
1185,159,67
1186,163,67
1187,159,68
1188,159,69
1189,162,69
1190,161,68
1191,161,71
1192,167,71
1193,171,71
1194,167,71
1195,167,71
1196,167,71
1197,171,71
1198,165,72
1199,161,72
1200,158,73
1201,156,74
1202,160,77
1203,164,77
1204,158,77
1205,158,77
1206,156,76
1207,159,76
1208,164,77
1209,162,77
1210,159,77
1211,162,78
1212,165,78
1213,165,78
1214,169,79
1215,171,79
1216,175,79
1217,179,79
1218,178,79
1219,175,80
1220,175,80
1221,174,80
1222,173,81
1223,173,83
1224,176,83
1225,167,83
1226,168,83
1227,165,83
1228,167,84
1229,165,84
1230,164,83
1231,163,83
1232,161,83
1233,159,85
1234,159,85
1235,163,87
1236,165,86
1237,163,86
1238,159,86
1239,161,86
1240,157,86
1241,155,86
1242,156,85
1243,151,85
1244,146,88
1245,145,88
1246,143,86
1247,142,87
1248,145,87
1249,153,88
1250,150,87
1251,148,87
1252,144,87
1253,139,88
1254,144,88
1255,147,88
1256,148,88
1257,147,88
1258,147,88
1259,149,89
1260,147,89
1261,148,90
1262,146,90
1263,151,91
1264,152,92
1265,154,92
1266,155,92
1267,154,92
1268,159,94
1269,154,94
1270,152,95
1271,153,95
1272,149,95
1273,152,95
1274,154,95
1275,156,95
1276,155,95
1277,158,96
1278,157,96
1279,158,96
1280,153,96
1281,153,98
1282,149,98
1283,152,98
1284,153,98
1285,154,98
1286,148,99
1287,148,99
1288,148,100
1289,152,99
1290,156,99
1291,156,99
1292,156,99
1293,154,99
1294,156,99
1295,159,101
1296,159,102
1297,157,102
1298,159,102
1299,158,101
1300,160,101
1301,160,101
1302,159,101
1303,155,102
1304,157,103
1305,152,103
1306,148,104
1307,151,104
1308,150,104
1309,148,105
1310,145,108
1311,143,108
1312,147,108
1313,140,108
1314,148,109
1315,148,109
1316,149,109
1317,147,110
1318,153,110
1319,152,110
1320,151,111
1321,147,111
1322,151,111
1323,152,111
1324,151,111
1325,154,111
1326,159,110
1327,155,113
1328,154,113
1329,155,113
1330,157,114
1331,156,114
1332,158,114
1333,153,114
1334,154,114
1335,156,114
1336,159,114
1337,158,114
1338,157,115
1339,158,115
1340,155,115
1341,150,115
1342,153,115
1343,148,115
1344,144,115
1345,144,115
1346,146,115
1347,143,115
1348,144,114
1349,148,114
1350,153,115
1351,150,115
1352,151,115
1353,147,116
1354,144,117
1355,142,117
1356,140,117
